,FIPS,democrat,republican,prcpMm,prcpMm1015,shareRep,year,shareDem,avgTemp,avgTempPast,tempDiff,rainDiff,booYear,booRain,booPastRain
525,16011.0,2924.0,10907.0,0.0,2.2108333333333303,0.49408833522083806,2016,0.13245753114382786,7.0625,3.98333333333335,3.07916666666665,-2.2108333333333303,True,False,True
527,16015.0,777.0,2673.0,0.0,3.82638888888889,0.5403274711946634,2016,0.15706488781079442,8.875,1.7704166666666696,7.104583333333331,-3.82638888888889,True,False,True
96,16015.0,1053.0,2284.0,3.82638888888889,3.82638888888889,0.6629898403483309,2012,0.30566037735849055,1.7704166666666696,1.7704166666666696,0.0,0.0,False,True,True
528,16017.0,5819.0,13343.0,0.0,5.3034722222222195,0.4986173393124066,2016,0.21745142002989537,8.6,5.375,3.2249999999999996,-5.3034722222222195,True,False,True
97,16017.0,6500.0,11367.0,5.3034722222222195,5.3034722222222195,0.6132391022874406,2012,0.3506689684937419,5.375,5.375,0.0,0.0,False,True,True
98,16019.0,9903.0,32276.0,1.6775,1.6775,0.7469048665910721,2012,0.22916714877467428,2.753055555555555,2.753055555555555,0.0,0.0,False,True,True
529,16019.0,8930.0,26699.0,0.0,1.6775,0.460168907273354,2016,0.1539124439848328,7.700000000000001,2.753055555555555,4.946944444444446,-1.6775,True,False,True
99,16021.0,1225.0,3138.0,4.75214285714286,4.75214285714286,0.690580985915493,2012,0.2695862676056338,2.251388888888891,2.251388888888891,0.0,0.0,False,True,True
530,16021.0,933.0,3789.0,0.0,4.75214285714286,0.5910154422087038,2016,0.14553111839026672,6.95,2.251388888888891,4.698611111111109,-4.75214285714286,True,False,True
100,16023.0,258.0,1001.0,2.2066666666666697,2.2066666666666697,0.7783825816485226,2012,0.2006220839813375,1.9454365079365097,1.9454365079365097,0.0,0.0,False,True,True
531,16023.0,160.0,914.0,0.0,2.2066666666666697,0.5687616677037959,2016,0.09956440572495333,7.408333333333317,1.9454365079365097,5.4628968253968075,-2.2066666666666697,True,False,True
532,16025.0,110.0,410.0,0.0,0.4166666666666671,0.5488621151271754,2016,0.14725568942436412,8.750000000000016,2.19583333333333,6.554166666666686,-0.4166666666666671,True,False,True
101,16025.0,159.0,402.0,0.4166666666666671,0.4166666666666671,0.6955017301038062,2012,0.2750865051903114,2.19583333333333,2.19583333333333,0.0,0.0,False,True,True
